-83.1955068933;42.67888228;100
-83.195506885;42.6788822467;100
-83.195506845;42.6788823683;100
-83.1955068883;42.67888255;100
-83.195506855;42.6788826717;100
-83.1955070117;42.6788827783;100
-83.1955070217;42.6788829917;100
-83.1955082933;42.678879155;100
-83.1955084067;42.6788791567;100
-83.1955083133;42.678879175;100
-83.1955083817;42.6788791383;100
-83.1955084483;42.6788792;100
-83.19550839;42.6788790933;100
-83.1955083917;42.6788790367;100
-83.1955084033;42.67887882;100
-83.1955083683;42.6788786983;100
-83.1955084183;42.6788786167;100
-83.1955085117;42.678878555;100
-83.1955085267;42.6788785533;100
-83.19550843;42.67887858;100
-83.195508185;42.6788723883;100
-83.1955045983;42.6788623333;100
-83.1954988033;42.678856165;100
-83.195503215;42.6788457933;100
-83.19550969;42.6788360933;100
-83.1955072567;42.6788273567;100
-83.195497625;42.6788188367;100
-83.1955028933;42.6788093017;100
-83.19550541;42.6787984033;100
-83.1955075217;42.6787889817;100
-83.1955064333;42.6787781567;100
-83.195503415;42.678766625;100
-83.1955022267;42.6787560233;100
-83.1955001033;42.678748235;100
-83.1954948783;42.6787428133;100
-83.1954850617;42.6787343083;100
-83.1954766583;42.67873339;100
-83.19547262;42.678743045;100
-83.1954734683;42.6787492;100
-83.1954738117;42.6787489417;100
-83.1954740683;42.6787486167;100
-83.1954742667;42.67874838;100
-83.1954745983;42.6787480917;100
-83.1954747783;42.6787477367;100
-83.1954749517;42.6787474983;100
-83.1954751317;42.6787472733;100
-83.1954751967;42.6787470083;100
-83.1954752917;42.6787467717;100
-83.195475205;42.6787465483;100
-83.1954753383;42.6787463367;100
-83.1954754017;42.67874621;100
-83.1954754983;42.6787460367;100
-83.195475545;42.6787459867;100
-83.1954754767;42.6787459433;100
-83.1954754967;42.6787459533;100
-83.1954756033;42.6787460467;100
-83.19547562;42.67874607;100
-83.19547559;42.6787460167;100
-83.19547567;42.67874604;100
-83.1954756433;42.678745995;100
-83.1954758567;42.6787459917;100
-83.1954759683;42.6787458433;100
-83.1954760183;42.6787459;100
-83.19547615;42.678745835;100
-83.1954761883;42.67874568;100
-83.1954764383;42.67874565;100
