-83.19558582;42.6793751817
-83.1955858567;42.679375205
-83.195585855;42.6793751617
-83.1955858017;42.679375155
-83.1955858267;42.6793751067
-83.1955859333;42.6793752417
-83.1955859517;42.679375235
-83.1955859767;42.67937523
-83.1955859883;42.679375275
-83.195586055;42.6793752267
-83.1955861183;42.6793752133
-83.195586185;42.679375145
-83.1955861933;42.6793751117
-83.1955861233;42.6793751817
-83.1955861583;42.67937519
-83.1955861433;42.679375185
-83.1955861767;42.6793752717
-83.1955862267;42.679372855
-83.1955807533;42.6793598233
-83.19557434;42.6793463033
-83.19557154;42.6793319683
-83.1955729883;42.679318235
-83.1955719133;42.6793040283
-83.1955694933;42.6792889367
-83.1955614683;42.6792749983
-83.195548405;42.6792629217
-83.195534315;42.67925197
-83.1955273717;42.6792413683
-83.195525365;42.6792262917
-83.195523845;42.6792118067
-83.1955230217;42.6791966083
-83.1955220467;42.67918226
-83.1955204683;42.6791671167
-83.195518615;42.6791524267
-83.1955106033;42.6791390717
-83.1955002183;42.6791275683
-83.1954816767;42.67911963
-83.1954619933;42.679117635
-83.1954441583;42.6791245283
-83.1954260517;42.6791330317
-83.19541215;42.6791403567
-83.1954109933;42.6791486883
-83.1954099817;42.6791509883
-83.1954082083;42.67915253
-83.1954077917;42.6791540383
-83.1954010767;42.6791580667
-83.1953981167;42.6791615617
-83.19539816;42.6791629267
-83.1953978083;42.67916322
-83.1953963367;42.6791635183
-83.1953881183;42.679160905
-83.1953717283;42.6791628983
-83.1953677017;42.6791716533
-83.1953768317;42.6791792567
-83.1953800417;42.67917959
-83.1953834533;42.67918051
-83.1953853133;42.6791806633
-83.1953862;42.67917793
-83.19538181;42.67917039
-83.19538106;42.6791717567
-83.1953811133;42.679169075
-83.1953812083;42.6791690167
-83.1953812633;42.6791690083
-83.1953814983;42.67916873
-83.19537747;42.6791602617
-83.195369915;42.6791472217
-83.19536279;42.6791347567
-83.1953634267;42.6791326617
-83.19536333;42.6791327433
-83.1953633817;42.6791327167
-83.1953633283;42.6791327133
-83.1953632667;42.67913274
-83.1953633217;42.6791327267
-83.19536326;42.6791327467
